,id,price,address,type,bed,bath,area
0,listing_1375919_featured,"$2,699,000",145 E 15th Street #16ST,Co-op,3 beds,2 baths,"1,700 ft??"
1,listing_1357080_featured,"$1,895,000",30 Beekman Place #7C,Co-op,4 beds,2.5 baths,"2,400 ft??"
2,listing_1378816,"$4,160,000",30 Riverside Boulevard #33C,Condo,2 beds,2.5 baths,"1,569 ft??"
3,listing_1378815,"$3,400,000",635 West 59th Street #29D,Condo,2 beds,2 baths,"1,438 ft??"
4,listing_1378814,"$1,925,000",30 Riverside Boulevard #22G,Condo,1 bed,1.5 baths,852 ft??
5,listing_1378813,"$3,650,000",30 Riverside Boulevard #26G,Condo,2 beds,2.5 baths,"1,533 ft??"
6,listing_1378809,"$590,000",320 East 83rd Street #3C,Co-op,1 bed,1 bath,
7,listing_1378798,"$339,000",581 Academy Street #1C,Condo,1 bed,1 bath,500 ft??
8,listing_1378796,"$1,248,000",252 South Street #12K,Condo,1 bed,1 bath,695 ft??
9,listing_1378797,"$1,399,000",252 South Street #35F,Condo,1 bed,1 bath,722 ft??
10,listing_1378795,"$1,425,000",252 South Street #10B,Condo,1 bed,1 bath,696 ft??
11,listing_1378794,"$1,711,000",252 South Street #64L,Condo,1 bed,1 bath,709 ft??
12,listing_1378793,"$1,576,000",252 South Street #59H,Condo,1 bed,1 bath,679 ft??
13,listing_1353651_featured,"$7,350,000",275 West 10th Street #4/B,Condo,3 beds,3.5 baths,"2,891 ft??"
14,listing_1376693_featured,"$7,335,000",49 Chambers Street #9EF,Condo,4 beds,5 baths,
15,listing_1378792,"$1,640,000",252 South Street #40N,Condo,1 bed,1 bath,723 ft??
16,listing_1378791,"$1,209,000",252 South Street #11F,Condo,1 bed,1 bath,695 ft??
17,listing_1378789,"$3,375,000",231 West 26th Street #2,Condo,3 beds,2.5 baths,"1,867 ft??"
18,listing_1378787,"$800,000",250 West 15th Street #5I,Co-op,1 bed,1 bath,700 ft??
19,listing_1378786,"$2,995,000",234 East 23rd Street #14C,Condo,3 beds,2.5 baths,"1,597 ft??"
20,listing_1378784,"$1,950,000",895 Park Avenue #1A,Co-op,,2 baths,"1,400 ft??"
21,listing_1378782,"$1,500,000",895 Park Avenue #1B,Co-op,3 beds,1 bath,
22,listing_1378781,"$1,499,000",165 West 66th Street #7A,Co-op,2 beds,2 baths,
23,listing_1378778,"$1,275,000",35 Park Avenue #18B,Co-op,2 beds,2 baths,"1,367 ft??"
24,listing_1378777,"$675,000",310 East 46th Street #14D,Condop,1 bed,1 bath,
25,listing_1378773,"$648,000",350 West 50th Street #2PP,Condo,,1 bath,407 ft??
26,listing_1375194_featured,"$1,895,000",252 South Street #9H,Condo,2 beds,2 baths,"1,156 ft??"
27,listing_1377705_featured,"$1,050,000",43 West 61st Street #17J,Condo,1 bed,1 bath,820 ft??
28,listing_1378772,"$1,199,000",529 W 42nd Street #9RR,Condo,2 beds,1 bath,
29,listing_1378764,"$3,955,000",10 Riverside Boulevard #28D,Condo,2 beds,2.5 baths,"1,689 ft??"
30,listing_1378763,"$705,000",100 La Salle Street #5A,Co-op,2 beds,1 bath,
31,listing_1378762,"$6,405,000",10 Riverside Boulevard #27B,Condo,3 beds,3.5 baths,"2,398 ft??"
32,listing_1378760,"$1,675,990",130 William Street #42C,Condo,1 bed,1 bath,802 ft??
33,listing_1378755,"$2,100,000",300 East 54th Street #2L2K,Co-op,3 beds,3 baths,
34,listing_1378744,"$550,000",7 East 14th Street #1525,Co-op,,1 bath,
35,listing_1378728,"$3,400,000",200 Riverside Boulevard #6AB,Condo,4 beds,3+ baths,"2,370 ft??"
36,listing_1378717,"$795,000",530  Grand Street #F11E,Co-op,2 beds,1 bath,
37,listing_1378714,"$289,000",62 Park Terrace West #15,Co-op,,1 bath,600 ft??
38,listing_1378713,"$1,949,000",301 East 52nd Street #2/1A,Co-op,3 beds,2.5 baths,"1,816 ft??"
39,listing_1356216_featured,"$1,045,000",1325 Fifth Avenue #5H,Condo,2 beds,2 baths,919 ft??
40,listing_1366682_featured,"$7,900,000",555 West End Avenue #3W,Condo,4 beds,4.5 baths,"2,716 ft??"
41,listing_1378707,"$8,250,000",280 West 25th Street #1,Townhouse,5 beds,2 baths,"4,068 ft??"
42,listing_1378705,"$398,000",242 East 38th Street #5F,Co-op,,1 bath,
43,listing_1378703,"$1,495,000",20 Sutton Place South #18C,Co-op,3 beds,3 baths,"1,800 ft??"
44,listing_1378701,"$699,000",675 West End Avenue #4C,Co-op,1 bed,1 bath,
45,listing_1378695,"$1,600,000",2 Fifth Avenue #11R,Co-op,2 beds,1 bath,
46,listing_1378692,"$1,350,000",160 Central Park South #2511,Condo,1 bed,1 bath,
47,listing_1378690,"$825,000",251 East 32nd Street #9A,Co-op,2 beds,1 bath,
48,listing_1378682,"$7,650,000",80 Riverside Boulevard #22/23D,Condo,6 beds,6+ baths,"3,700 ft??"
49,listing_1378667,"$1,400,000",165 East 72nd Street #PHJ,Co-op,1 bed,1 bath,
50,listing_1378661,"$759,900",401 East 86th Street #7H,Co-op,1 bed,1 bath,
51,listing_1378658,"$4,995,000",277 Fifth Avenue #33A,Condo,3 beds,3 baths,"1,784 ft??"
52,listing_1269059_featured,"$2,828,000",497 Greenwich Street #2C,Condo,1 bed,2 baths,"1,662 ft??"
53,listing_1373296_featured,"$664,000",306 West 100th Street #65,Co-op,2 beds,1 bath,
54,listing_1375608,"$2,500,000",455 Central Park West #23B,Condo,2 beds,2.5 baths,"1,333 ft??"
55,listing_1375602,"$5,650,000",570 Broome Street #PHB,Condo,3 beds,3 baths,"1,943 ft??"
56,listing_1375599,"$495,000",555 Lenox Avenue #3F,Condo,1 bed,1 bath,599 ft??
57,listing_1375596,"$1,500,000",320 West 19th Street #1B,Co-op,3 beds,3 baths,
58,listing_1375594,"$11,215,000",215 East 19th Street #16C,Condo,3 beds,3.5 baths,"3,757 ft??"
59,listing_1375928,"$948,000",165 West 66th Street #21A,Co-op,1 bed,1 bath,
60,listing_1375586,"$675,000",100 La Salle Street #11G,Co-op,2 beds,1 bath,904 ft??
61,listing_1375582,"$795,000",11 Riverside Drive #4KW,Co-op,1 bed,1 bath,
62,listing_1375581,"$779,900",401 East 86th Street #12H,Co-op,1 bed,1 bath,
63,listing_1375580,"$1,465,000",401 East 74th Street #7D,Co-op,2 beds,2 baths,"1,200 ft??"
64,listing_1375573,"$499,999",505 West 143rd Street #43,Co-op,2 beds,1 bath,
65,listing_1360893_featured,"$13,995,000",111 West 67th Street #25D,Condo,5 beds,4.5 baths,"3,818 ft??"
66,listing_1373960_featured,"$4,300,000",551 West 21st Street #4A,Condo,2 beds,2.5 baths,"2,113 ft??"
67,listing_1375570,"$3,295,000",50 West 47th #20N,Condo,,1 bath,
68,listing_1375564,"$9,900,000",10 Madison Square West #11E,Condo,3 beds,3.5 baths,"2,347 ft??"
69,listing_1375562,"$800,000",155 West 15th Street #2F,Co-op,,1 bath,720 ft??
70,listing_1375556,"$1,895,000",165 West 91st Street #7C,Condo,2 beds,2 baths,"1,068 ft??"
71,listing_1375553,"$1,525,000",151 East 83rd Street #9H,Co-op,2 beds,2 baths,
72,listing_1375552,"$3,920,000",15 Hudson Yards #37D,Condo,2 beds,2.5 baths,"1,559 ft??"
73,listing_1375544,"$875,000",100 West 93rd Street #6D,Condo,1 bed,1 bath,493 ft??
74,listing_1375542,"$2,995,000",37 Walker Street #3/4,Condo,3 beds,2.5 baths,"1,978 ft??"
75,listing_1375541,"$1,734,000",100 West 93rd Street #2J,Condo,2 beds,2 baths,971 ft??
76,listing_1375528,"$549,000",531 Main Street #911,Co-op,1 bed,1 bath,
77,listing_1375527,"$849,000",400 East 56th Street #29O,Co-op,1 bed,1.5 baths,917 ft??
78,listing_1363071_featured,"$13,500,000",207 East 71st Street ,Townhouse,8 beds,8+ baths,
79,listing_1362127_featured,"$2,395,000",3 Hanover Square #20FG,Co-op,3 beds,3 baths,"2,100 ft??"
80,listing_1375524,"$3,450,000",305 West 16th Street #PHD,Condop,3 beds,2.5 baths,"1,500 ft??"
81,listing_1375521,"$585,000",254 East 7th Street #4,Co-op,1 bed,1 bath,
82,listing_1375518,"$1,550,000",421 Hudson #524,Condo,1 bed,2 baths,
83,listing_1375517,"$2,700,000",130 East 67th Street #2C,Co-op,2 beds,2.5 baths,"2,000 ft??"
84,listing_1375515,"$679,000",340 East 93rd Street #21B,Co-op,1 bed,1 bath,
85,listing_1375514,"$3,850,000",141 Fifth Avenue #3D,Condo,2 beds,2 baths,"1,691 ft??"
86,listing_1375511,"$795,000",530 Grand Street #D4A,Co-op,2 beds,1 bath,
87,listing_1375509,"$670,000",130 W 67th Street #19A,Co-op,1 bed,1 bath,
88,listing_1375504,"$1,050,000",324 East 4th Street #6A,Condo,1 bed,1 bath,605 ft??
89,listing_1375505,"$1,750,000",80 John Street #8C,Condo,3 beds,2 baths,"1,412 ft??"
90,listing_1375503,"$1,700,000",77 Bleecker Street #113,Co-op,2 beds,2 baths,"1,350 ft??"
91,listing_1340671_featured,"$7,500,000",75 Kenmare Street #PHC,Condo,2 beds,2 baths,"1,855 ft??"
92,listing_1368434_featured,"$890,000",201 East 17th Street #14E,Co-op,1 bed,1 bath,
93,listing_1375502,"$1,550,000",401 East 60th Street #23C,Condo,2 beds,1.5 baths,"1,108 ft??"
94,listing_1375499,"$415,000",319 East 50th Street #9L,Co-op,,1 bath,500 ft??
95,listing_1375498,"$14,995,000",35 East 76th Street #26,Co-op,4 beds,4.5 baths,
96,listing_1375497,"$6,300,000",249 Waverly Place ,Townhouse,3 beds,3.5 baths,"2,800 ft??"
97,listing_1375496,"$1,295,000",20 Pine Street #1611,Condo,,1 bath,"1,225 ft??"
98,listing_1375495,"$535,000",35 East 30th Street #9C,Co-op,1 bed,1 bath,
99,listing_1375493,"$725,000",345 West 58th Street #6S,Co-op,1 bed,1 bath,708 ft??
100,listing_1375488,"$975,000",348 West 36th Street #2N,Co-op,1 bed,1 bath,900 ft??
101,listing_1375489,"$449,000",137 West 142nd Street #3A,Co-op,2 beds,1 bath,
102,listing_1375480,"$300,000",501 West 156th Street #41,Co-op,2 beds,1 bath,
103,listing_1375479,"$848,000",51 Saint Marks Place #10,Co-op,1 bed,1 bath,850 ft??
104,listing_1376072_featured,"$4,100,000",251 West 19th Street #9C,Condo,3 beds,2 baths,
105,listing_1366467_featured,"$1,095,000",50 King Street #8B,Co-op,1 bed,1 bath,
106,listing_1375488,"$975,000",348 West 36th Street #2N,Co-op,1 bed,1 bath,900 ft??
107,listing_1375489,"$449,000",137 West 142nd Street #3A,Co-op,2 beds,1 bath,
108,listing_1375480,"$300,000",501 West 156th Street #41,Co-op,2 beds,1 bath,
109,listing_1375479,"$848,000",51 Saint Marks Place #10,Co-op,1 bed,1 bath,850 ft??
110,listing_1375476,"$2,150,000",220 East 65th Street #9IG,Condo,3 beds,3 baths,
111,listing_1375471,"$799,000",817 West End Avenue #11E,Condo,1 bed,1 bath,685 ft??
112,listing_1375464,"$3,500,000",222 Riverside Drive #9B,Condo,3 beds,3.5 baths,"1,900 ft??"
113,listing_1375463,"$4,350,000",21 West 121 ,Multi-family,10 beds,5.5 baths,"5,880 ft??"
114,listing_1375462,"$1,225,000",530 Grand Street #F10H,Co-op,3 beds,2 baths,"1,250 ft??"
115,listing_1375460,"$5,050,000",157 W 57th Street #36E,Condo,1 bed,2 baths,"1,406 ft??"
116,listing_1375456,"$375,000",159 Madison Avenue #5JJ,Co-op,,1 bath,
117,listing_1367617_featured,"$1,750,000",440 Riverside Drive #83,Co-op,2 beds,2 baths,
118,listing_1376732_featured,"$2,595,000",151 West 17th Street #2H,Condo,2 beds,2 baths,"1,683 ft??"
