,price,address,type,area
0,2699000,145 E 15th Street #16ST,Co-op,1700
1,1895000,30 Beekman Place #7C,Co-op,2400
2,4160000,30 Riverside Boulevard #33C,Condo,1569
3,3400000,635 West 59th Street #29D,Condo,1438
4,1925000,30 Riverside Boulevard #22G,Condo,852
5,3650000,30 Riverside Boulevard #26G,Condo,1533
7,339000,581 Academy Street #1C,Condo,500
8,1248000,252 South Street #12K,Condo,695
9,1399000,252 South Street #35F,Condo,722
10,1425000,252 South Street #10B,Condo,696
11,1711000,252 South Street #64L,Condo,709
12,1576000,252 South Street #59H,Condo,679
13,7350000,275 West 10th Street #4/B,Condo,2891
15,1640000,252 South Street #40N,Condo,723
16,1209000,252 South Street #11F,Condo,695
17,3375000,231 West 26th Street #2,Condo,1867
18,800000,250 West 15th Street #5I,Co-op,700
19,2995000,234 East 23rd Street #14C,Condo,1597
20,1950000,895 Park Avenue #1A,Co-op,1400
23,1275000,35 Park Avenue #18B,Co-op,1367
25,648000,350 West 50th Street #2PP,Condo,407
26,1895000,252 South Street #9H,Condo,1156
27,1050000,43 West 61st Street #17J,Condo,820
29,3955000,10 Riverside Boulevard #28D,Condo,1689
31,6405000,10 Riverside Boulevard #27B,Condo,2398
32,1675990,130 William Street #42C,Condo,802
35,3400000,200 Riverside Boulevard #6AB,Condo,2370
37,289000,62 Park Terrace West #15,Co-op,600
38,1949000,301 East 52nd Street #2/1A,Co-op,1816
39,1045000,1325 Fifth Avenue #5H,Condo,919
40,7900000,555 West End Avenue #3W,Condo,2716
41,8250000,280 West 25th Street #1,Townhouse,4068
43,1495000,20 Sutton Place South #18C,Co-op,1800
48,7650000,80 Riverside Boulevard #22/23D,Condo,3700
51,4995000,277 Fifth Avenue #33A,Condo,1784
52,2828000,497 Greenwich Street #2C,Condo,1662
54,2500000,455 Central Park West #23B,Condo,1333
55,5650000,570 Broome Street #PHB,Condo,1943
56,495000,555 Lenox Avenue #3F,Condo,599
58,11215000,215 East 19th Street #16C,Condo,3757
60,675000,100 La Salle Street #11G,Co-op,904
63,1465000,401 East 74th Street #7D,Co-op,1200
65,13995000,111 West 67th Street #25D,Condo,3818
66,4300000,551 West 21st Street #4A,Condo,2113
68,9900000,10 Madison Square West #11E,Condo,2347
69,800000,155 West 15th Street #2F,Co-op,720
70,1895000,165 West 91st Street #7C,Condo,1068
72,3920000,15 Hudson Yards #37D,Condo,1559
73,875000,100 West 93rd Street #6D,Condo,493
74,2995000,37 Walker Street #3/4,Condo,1978
75,1734000,100 West 93rd Street #2J,Condo,971
77,849000,400 East 56th Street #29O,Co-op,917
79,2395000,3 Hanover Square #20FG,Co-op,2100
80,3450000,305 West 16th Street #PHD,Condop,1500
83,2700000,130 East 67th Street #2C,Co-op,2000
85,3850000,141 Fifth Avenue #3D,Condo,1691
88,1050000,324 East 4th Street #6A,Condo,605
89,1750000,80 John Street #8C,Condo,1412
90,1700000,77 Bleecker Street #113,Co-op,1350
91,7500000,75 Kenmare Street #PHC,Condo,1855
93,1550000,401 East 60th Street #23C,Condo,1108
94,415000,319 East 50th Street #9L,Co-op,500
96,6300000,249 Waverly Place ,Townhouse,2800
97,1295000,20 Pine Street #1611,Condo,1225
99,725000,345 West 58th Street #6S,Co-op,708
100,975000,348 West 36th Street #2N,Co-op,900
103,848000,51 Saint Marks Place #10,Co-op,850
