,price,address,type,area
0,1587.6470588235295,145 E 15th Street #16ST,1,1700
1,789.5833333333334,30 Beekman Place #7C,1,2400
2,2651.370299553856,30 Riverside Boulevard #33C,2,1569
3,2364.394993045897,864590400,2,1438
4,2259.389671361502,30 Riverside Boulevard #22G,2,852
5,2380.9523809523807,30 Riverside Boulevard #26G,2,1533
6,678.0,581 Academy Street #1C,2,500
7,1795.68345323741,252 South Street #12K,2,695
8,1937.6731301939058,252 South Street #35F,2,722
9,2047.4137931034484,252 South Street #10B,2,696
10,2413.258110014104,252 South Street #64L,2,709
11,2321.060382916053,252 South Street #59H,2,679
12,2542.3728813559323,236833600,2,2891
13,2268.326417704011,252 South Street #40N,2,723
14,1739.568345323741,252 South Street #11F,2,695
15,1807.7129084092126,179963200,2,1867
16,1142.857142857143,205241600,1,700
17,1875.3913587977459,34489600,2,1597
18,1392.857142857143,895 Park Avenue #1A,1,1400
19,932.6993416239942,35 Park Avenue #18B,1,1367
20,1592.137592137592,324057600,2,407
21,1639.273356401384,252 South Street #9H,2,1156
22,1280.4878048780488,33128000,2,820
23,2341.6222616933096,10 Riverside Boulevard #28D,2,1689
24,2670.975813177648,10 Riverside Boulevard #27B,2,2398
25,2089.7630922693265,130 William Street #42C,2,802
26,1434.5991561181434,200 Riverside Boulevard #6AB,2,2370
27,481.6666666666667,62 Park Terrace West #15,1,600
28,1073.2378854625551,64648000,1,1816
29,1137.1055495103374,1325 Fifth Avenue #5H,2,919
30,2908.6892488954345,555 West End Avenue #3W,2,2716
31,2028.023598820059,236057600,6,4068
32,830.5555555555555,20 Sutton Place South #18C,1,1800
33,2067.5675675675675,80 Riverside Boulevard #22/23D,2,3700
34,2799.8878923766815,277 Fifth Avenue #33A,2,1784
35,1701.5643802647412,497 Greenwich Street #2C,2,1662
36,1875.4688672168043,455 Central Park West #23B,2,1333
37,2907.874420998456,570 Broome Street #PHB,2,1943
38,826.3772954924875,555 Lenox Avenue #3F,2,599
39,2985.094490284802,28558400,2,3757
40,746.6814159292036,100 La Salle Street #11G,1,904
41,1220.8333333333333,147784000,1,1200
42,3665.5316919853326,72488000,2,3818
43,2035.0212967345008,684635200,2,2113
44,4218.150830847891,10 Madison Square West #11E,2,2347
45,1111.111111111111,113281600,1,720
46,1774.3445692883895,121601600,2,1068
47,2514.432328415651,15 Hudson Yards #37D,2,1559
48,1774.8478701825559,74240000,2,493
49,1514.1557128412537,37 Walker Street #3/4,2,1978
50,1785.7878475798145,74240000,2,971
51,925.845147219193,144057600,1,917
52,1140.4761904761904,3 Hanover Square #20FG,1,2100
53,2300.0,271201600,3,1500
54,1350.0,2694400,1,2000
55,2276.7593140153754,141 Fifth Avenue #3D,2,1691
56,1735.5371900826447,95648000,2,605
57,1239.3767705382436,80 John Street #8C,2,1412
58,1259.2592592592594,77 Bleecker Street #113,1,1350
59,4043.1266846361186,75 Kenmare Street #PHC,2,1855
60,1398.9169675090252,145275200,2,1108
61,830.0,76795200,1,500
62,2250.0,249 Waverly Place ,6,2800
63,1057.142857142857,20 Pine Street #1611,2,1225
64,1024.0112994350281,317000000,1,708
65,1083.3333333333333,322976000,1,900
66,997.6470588235294,51 Saint Marks Place #10,1,850
67,1083.3333333333333,322976000,1,900
68,997.6470588235294,51 Saint Marks Place #10,1,850
69,1166.4233576642337,817 West End Avenue #11E,2,685
70,1842.1052631578948,222 Riverside Drive #9B,2,1900
71,739.795918367347,53019200,4,5880
72,980.0,530 Grand Street #F10H,1,1250
73,3591.7496443812233,157 W 57th Street #36E,2,1406
74,1541.8894830659538,109096000,2,1683
75,529.1666666666666,64102400,1,1200
76,5049.047893825736,157 W 57th Street #43C,2,3466
77,1200.0,100705600,2,625
78,2604.994324631101,404 Park Avenue South #6D,2,1762
79,1548.1239804241436,865134400,2,613
80,1259.493670886076,4057600,2,790
81,2216.407982261641,60 Riverside Boulevard #A3201,2,2255
82,1351.9021739130435,16409600,2,736
83,1018.5614849187936,40 Pinehurst Avenue #5D,2,862
84,9615.384615384615,0,2,6760
85,1338.8466696468486,116000000,2,2237
86,1579.2154865002547,225 Rector Place #PH2B,2,1963
87,583.3333333333334,695752000,1,300
88,1625.0,153256000,1,1800
89,1746.031746031746,3579200,2,1575
90,2039.71119133574,70 Charlton Street #18D,3,831
91,2120.337477797513,70 Charlton Street #17E,3,2252
92,1873.0964467005076,374 Broome Street #4B,2,1970
93,1971.1833231146536,70 Charlton Street #9D,3,1631
94,1948.2421875,50 Franklin Street #12B,2,1024
95,1285.7142857142858,84232000,1,525
96,6513.026052104208,71336000,2,4491
97,2408.111533586819,301 W 57th Street #25A,2,789
98,1134.52188006483,106702400,2,1234
99,1185.9582542694498,200 Rector Place #4Y,2,1054
100,2472.4108658743635,225256000,3,2356
101,1690.6474820143885,3481600,6,6950
102,1086.3636363636363,45 East End Avenue #5H,1,1100
103,1865.9903897490656,88 Lexington #702,2,1873
104,2155.8132619684807,268985600,6,3363
105,1519.903498190591,10 West End Avenue #5G,2,829
106,1129.032258064516,164614400,3,930
107,531.25,65 Park Terrace East #C58,1,800
108,1709.9056603773586,18 W 48th Street #14A,2,848
109,2069.9172033118675,10990400,2,1087
110,1930.2429572216427,40 Sullivan Street ,6,6709
111,1909.090909090909,27 Leonard Street #5,2,1650
112,2307.395993836672,100 Norfolk Street #3C,2,1298
113,4013.761467889908,16230400,2,3924
114,1639.273356401384,252 South Street #9H,2,1156
115,1186.25,204761600,1,800
116,2700.9646302250803,196 Orchard Street #10D,2,1555
117,846.6666666666666,236249600,2,750
118,1186.046511627907,308 E 38th Street #6F,2,645
119,1152.3076923076924,7508800,2,650
120,1597.1316818774446,16360000,2,767
121,1456.25,77 Park Avenue #7G,2,800
122,3949.1916859122402,1 Central Park West #32D,2,2165
123,1381.9444444444443,385 First Avenue #2F,2,720
124,2390.625,24294400,2,1600
125,1460.8695652173913,200 Rector Place #36M,2,1150
126,725.0,9518400,1,2000
127,1703.7708484408993,105382400,2,2758
128,1650.4381694255112,277870400,2,1027
129,1916.4265129682997,586280000,2,1041
130,1719.022687609075,196 Orchard Street #6M,2,573
131,2124.113475177305,100 Barclay Street #15J,2,1410
132,998.0,413 Grand #F202,1,500
133,758.0,169544000,1,500
134,1347.42951907131,313825600,1,2412
135,2352.536543422184,252 South Street #34A,2,1163
136,2250.8650519031144,252 South Street #48G,2,1156
137,1775.0,200 Central Park South #8HI,1,2000
138,2472.965786208119,60 Riverside Boulevard #2101,2,5641
139,2045.414069456812,252 South Street #29L,2,1123
140,1639.273356401384,252 South Street #9H,2,1156
141,2359.8086124401916,252 South Street #51B,2,1045
142,2596.4285714285716,252 South Street #76E,2,1400
143,2814.230933106093,252 South Street #57J,2,2347
144,2560.6837606837607,252 South Street #62D,2,1170
145,2581.035642232683,252 South Street #41C,2,1487
146,2638.2723455308937,252 South Street #59A,2,1667
147,1914.5146927871772,252 South Street #15E,2,1123
148,940.0,72622400,1,850
149,1196.1722488038276,100705600,2,627
150,1696.4285714285713,116454400,2,1680
151,2413.258110014104,252 South Street #65L,2,709
152,2940.4761904761904,200 E 95th Street #28B,2,2688
153,2310.7511045655374,252 South Street #57H,2,679
154,1749.6402877697842,252 South Street #12F,2,695
155,2060.344827586207,252 South Street #12B,2,696
156,2221.9378427787933,200 E 95th Street #9B,2,2735
157,2226.832641770401,252 South Street #34N,2,723
158,2369.186046511628,252 South Street #72G,2,688
159,1945.3237410071943,252 South Street #22K,2,695
160,1204.0939193257075,88025600,2,1661
161,1250.0,211686400,2,2700
162,2890.6221064814813,160 Leroy Street NORTH8C,2,1728
163,950.0,6681600,1,1000
164,2486.9831546707505,200 E 95th Street #26C,2,1959
165,2010.1549973276324,200 E 95th Street #6G,2,1871
166,1573.8963531669865,655462400,2,521
167,2599.5575221238937,160 Central Park South #30007,2,904
168,1589.879518072289,60 Riverside Boulevard #1112,2,2075
169,984.6153846153846,43398400,1,1625
170,2570.8793849111003,164488000,2,2081
171,1191.1874533233756,18171200,2,1339
172,6336.6810138689625,71336000,2,4182
173,564.1968325791855,725465600,4,3536
174,1127.9799247176913,78112000,2,797
175,1747.905559786748,279788800,2,1313
176,1234.4444444444443,260 West Broadway #1/2C,2,8100
177,1633.9334424440808,220 Riverside Boulevard #24C,2,1833
178,2085.1063829787236,655 Park Avenue #4D,1,2350
179,1171.1711711711712,1325 Fifth Avenue #6C,2,1332
180,2497.9009235936187,9760000,2,2382
181,2116.533864541833,9760000,2,2008
182,1577.4487471526195,12564800,2,878
183,2001.9096117122851,9760000,2,1571
184,1837.5540457072266,9760000,2,1619
185,2172.3896285914507,9760000,2,1427
186,1920.1228878648233,9760000,2,1302
187,1437.5,100025600,2,400
188,1824.1167434715821,9760000,2,1302
189,567.0168067226891,104968000,6,4760
190,4100.383982446517,498 West End Avenue #PH,2,3646
191,1408.921933085502,189230400,2,1345
192,2116.368286445013,685 First Avenue #32D,2,1564
193,1739.1304347826087,13164800,2,920
194,1646.655231560892,285036800,2,583
195,1639.344262295082,9760000,2,1342
196,2031.9383259911895,9760000,2,908
197,2472.4108658743635,225256000,3,2356
198,1750.2612330198538,75 Wall Street #34O,2,1914
199,2134.1463414634145,1212 Fifth Avenue #5B,2,1804
200,1100.0,208 E Broadway #J1406,1,1000
201,2194.148936170213,129 Lafayette Street #10A,2,3008
202,1688.034188034188,9760000,2,702
203,1365.7142857142858,525222400,1,875
204,1604.0462427745665,9760000,2,692
205,1995.5156950672647,39 Vestry Street #3A,2,2230
206,1695.046439628483,9760000,2,646
207,1584.126984126984,785 Park Avenue #15A,1,1575
208,1475.0,420 Central Park West #2D,2,400
209,2947.4043715846997,15 Hudson Yards #27G,2,1464
210,1250.0,30291200,1,600
211,2000.0,20441600,1,850
212,1216.2162162162163,100705600,2,592
213,1240.53826745164,421 W 54th #4D,2,2378
214,2172.9651162790697,100 Barclay Street #16L,2,2064
215,1544.891640866873,144006400,2,1615
216,1820.4854627900775,225256000,3,3749
217,1061.3931523022432,1810 Third Avenue #B9D,2,847
218,1640.625,416 W 52nd Street #725,2,960
219,3005.6390977443607,285 Lafayette Street #5E,2,2660
220,1523.7366003062787,29824000,2,653
221,7296.0747118050485,619040000,2,6853
222,1615.9695817490494,425 5th Avenue #31A,2,789
223,3748.2566248256626,443 Greenwich Street #2J,2,2868
224,2786.7528271405495,499809600,2,2476
225,2786.7528271405495,499809600,2,2476
226,663.3333333333334,371009600,1,1500
227,4532.284768211921,157 W 57th Street #38F,2,2416
228,2203.703703703704,111 Central Park North #17ABC,2,5400
229,1682.6923076923076,426 West Broadway #3A,2,1040
230,747.4226804123712,23603200,1,776
231,1345.2566096423018,416 W 52nd Street #512,2,1929
232,1385.2813852813854,416 W 52nd Street #506,2,1386
233,2728.476821192053,111 Murray Street #12D,2,755
234,1315.7894736842106,120 Riverside Boulevard #14J,2,798
235,1682.4005394470666,177294400,2,1483
236,1483.050847457627,68494400,2,1062
237,1692.3076923076924,5 Beekman Street #23A,2,1625
238,3865.2714192282538,15 Hudson Yards #69B,2,3058
239,3019.584332533973,15 Hudson Yards #66E,2,2502
240,2851.5185601799776,15 Hudson Yards #34A,2,1778
241,1310.0436681222707,225 Rector Place #8C,2,687
242,1611.470113085622,692200000,2,1238
243,3248.133256748995,15 Hudson Yards #77D,2,1741
244,2908.4158415841584,15 Hudson Yards #63D,2,2020
245,815.0,457 Fdr Dr #A504,1,1000
246,2633.9285714285716,23148800,2,5600
247,1178.0104712041884,284321600,2,1337
248,2295.039164490862,30 Warren Street #6C,2,1915
249,2479.0919952210274,22553600,2,1674
250,815.0,457 Fdr Dr #A504,1,1000
251,2633.9285714285716,23148800,2,5600
252,1178.0104712041884,284321600,2,1337
253,2110.3896103896104,11910400,2,1540
254,2418.8790560471975,404 Park Avenue South #12A,2,1695
255,887.0370370370371,221600000,2,2700
256,5184.368105893476,30 Park Place #PH77B,2,3173
257,1500.0,106 Central Park South #6C,2,500
258,1474.7474747474748,151251200,2,2475
259,1000.0,20 Pine Street #1417,2,888
260,2184.5574387947267,492294400,2,531
261,1212.0,623987200,2,1250
262,2583.073727933541,146 Chambers Street #PH,2,1926
263,2808.0985915492956,502534400,2,568
264,2590.8372827804105,502534400,2,1266
265,1477.2727272727273,125600000,1,1100
